"FISHID","fish_name","scientific_name","family","genus","gear","fisher_ID","date","month","year","village","time_decimal","total_weight","number_fish","total_sold","total_consumed"
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,8,2017-02-24,2,2017,2,5.9,0.11,2,0,0.11
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",8,1,2016-03-12,3,2016,3,2.03,0.28,2,0,0.28
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,18,2016-08-09,8,2016,2,5.58,0.42,2,0.42,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,34,2016-10-09,10,2016,1,5.75,0.825,2,0.825,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,57,2017-05-15,5,2017,1,4.83,0.16,2,0,0.16
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,34,2016-02-09,2,2016,1,NA,0.392803669410151,1,0.392803669410151,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,3,2016-07-22,7,2016,3,5.27,0.26,1,0.26,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,33,2016-02-22,2,2016,1,6.72,3.14242935528121,8,3.14242935528121,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,2,2017-02-15,2,2017,1,4.17,0.06,1,0,0.06
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,50,2016-02-26,2,2016,1,4.75,0.125,2,0,0.125
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,2,2016-02-09,2,2016,1,5.75,0.785607338820302,2,0.785607338820302,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",8,30,2016-12-13,12,2016,1,6,2.41,1,2.41,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,6,2016-05-29,5,2016,1,3.7,0.235,1,0,0.235
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",8,36,2016-02-09,2,2016,1,6.75,0.085,1,0,0.085
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,13,2016-06-29,6,2016,2,4.75,0.38,3,0.38,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,15,2016-07-22,7,2016,2,3.22,0.9,3,0.9,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,8,2017-06-21,6,2017,2,3.83,0.355,2,0.355,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,1,2017-04-20,4,2017,1,5,0.15,1,0,0.15
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,35,2016-02-22,2,2016,1,7.75,3.92803669410151,10,3.92803669410151,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",8,10,2017-02-11,2,2017,1,4.5,0.392803669410151,1,0.392803669410151,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,13,2016-09-26,9,2016,2,3.5,2.055,2,1.505,0.55
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,13,2016-06-20,6,2016,2,5.17,0.21,1,0.21,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,13,2017-04-23,4,2017,3,2.57,0.275,2,0,0.275
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,17,2016-09-22,9,2016,2,3.75,2.96,1,2.96,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,53,2017-03-23,3,2017,1,4.67,0.095,1,0,0.095
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,49,2016-02-22,2,2016,1,5.75,5.49925137174211,14,5.49925137174211,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,52,2017-02-11,2,2017,1,3.48,1.5712146776406,4,1.5712146776406,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,14,2016-06-29,6,2016,2,4.75,0.225,1,0,0.225
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,13,2017-03-25,3,2017,3,2.32,0.105,2,0,0.105
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,17,2016-08-22,8,2016,2,4.22,2.555,1,2.555,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,18,2016-10-25,10,2016,4,12,5.083,3,5.083,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,17,2016-10-26,10,2016,2,4.8,1.82,2,1.82,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,10,2017-04-23,4,2017,3,3.52,0.525,2,0.525,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,16,2016-08-22,8,2016,2,6.55,1.77,1,0,1.77
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,6,2016-04-18,4,2016,2,4.33,0.145,1,0,0.145
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,9,2016-06-20,6,2016,2,4.17,0.525,3,0.525,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,8,2017-03-29,3,2017,2,3.5,0.195,5,0.195,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,12,2016-04-23,4,2016,1,2.75,0.135,1,0,0.135
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,17,2016-07-22,7,2016,2,3.75,0.375,3,0.375,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,6,2016-04-28,4,2016,1,4.68,2.35682201646091,6,2.35682201646091,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,30,2016-03-12,3,2016,1,4.27,1.17841100823045,3,1.17841100823045,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,5,2016-06-11,6,2016,3,2.05,0.272,1,0,0.272
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,6,2017-03-29,3,2017,2,5.08,0.18,4,0.18,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,36,2017-05-23,5,2017,1,7.17,3.14242935528121,8,3.14242935528121,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",8,3,2016-11-26,11,2016,2,4.58,3.235,3,3.235,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,6,2017-03-23,3,2017,1,3.42,0.06,1,0,0.06
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,36,2016-07-08,7,2016,1,6.25,0.795,2,0,0.795
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",8,10,2016-07-22,7,2016,3,5.82,0.325,1,0.325,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,5,2016-10-27,10,2016,2,1.83,2.22,1,0,2.22
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,49,2016-02-09,2,2016,1,6.5,1.5712146776406,4,1.5712146776406,0
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,9,2016-08-22,8,2016,2,3.42,0.29,1,0,0.29
1,"hoditrovy","Bothus sp.","Soleidae","Bothus",1,14,2017-02-22,2,2017,1,6.25,1.5712146776406,4,1.5712146776406,0
2,"alaita","Chrysoblephus sp.","Clupeidae","Chrysoblephus",2,46,2017-04-23,4,2017,4,4.5,0.485,2,0,0.485
2,"alaita","Chrysoblephus sp.","Clupeidae","Chrysoblephus",2,3,2016-04-23,4,2016,4,1.5,0.513,2,0,0.513
2,"alaita","Chrysoblephus sp.","Clupeidae","Chrysoblephus",2,14,2016-04-23,4,2016,4,2,0.872,3,0,0.872
2,"alaita","Chrysoblephus sp.","Clupeidae","Chrysoblephus",2,6,2016-03-30,3,2016,4,3.17,1.134,2,0.379,0.755
2,"alaita","Chrysoblephus sp.","Clupeidae","Chrysoblephus",2,31,2017-04-23,4,2017,4,2.83,0.375,1,0.375,0
2,"alaita","Chrysoblephus sp.","Clupeidae","Chrysoblephus",2,20,2016-05-14,5,2016,4,5.33,0.759,5,0.759,0
2,"alaita","Chrysoblephus sp.","Clupeidae","Chrysoblephus",2,13,2016-04-19,4,2016,4,1.5,0.43,2,0.43,0
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",1,5,2016-11-26,11,2016,2,3.25,1.05,1,0,1.05
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",2,11,2016-04-19,4,2016,4,3.5,0.51,2,0.51,0
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",7,5,2016-03-30,3,2016,4,4.33,2.002,2,0,2.002
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",1,23,2016-03-12,3,2016,1,4.75,9.49273809523809,5,9.49273809523809,0
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",7,4,2016-03-22,3,2016,2,5.5,0.24,1,0,0.24
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",2,41,2016-02-22,2,2016,1,6.25,1.16,1,0,1.16
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",7,9,2016-11-21,11,2016,4,4.5,15.04,1,15.04,0
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",2,41,2016-03-18,3,2016,1,5.5,0.22,4,0.22,0
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",1,5,2016-04-12,4,2016,4,2.33,4.01,1,4.01,0
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",1,28,2016-02-22,2,2016,1,4.2,0.04,1,0,0.04
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",8,9,2016-09-23,9,2016,1,5.75,0.845,1,0.845,0
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",2,3,2016-12-09,12,2016,2,3.75,0.605,1,0,0.605
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",2,14,2017-04-20,4,2017,2,6.42,0.365,1,0,0.365
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",7,4,2016-03-26,3,2016,4,6.83,1.261,1,1.261,0
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",1,17,2016-09-19,9,2016,2,3.57,2.775,2,2.775,0
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",1,11,2016-07-10,7,2016,3,3.5,0.385,1,0,0.385
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",2,3,2017-04-13,4,2017,2,3.83,0.28,1,0,0.28
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",2,16,2017-04-20,4,2017,2,7.58,0.19,1,0,0.19
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",2,22,2016-11-25,11,2016,2,4.98,1.455,1,0,1.455
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",7,2,2016-03-26,3,2016,4,6,1.12,1,1.12,0
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",2,13,2017-04-20,4,2017,2,7.58,0.085,1,0,0.085
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",2,3,2017-07-20,7,2017,2,3.17,9.04,1,0,9.04
3,"alovo","Epinephelinae sp.",NA,"Epinephelinae",1,34,2016-10-26,10,2016,1,5.18,1.89854761904762,1,1.89854761904762,0
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",7,9,2016-05-25,5,2016,4,4,3.188,3,0,3.188
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",2,16,2017-04-20,4,2017,2,7.58,0.715,1,0.715,0
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",3,3,2016-09-23,9,2016,2,6.58,2.76,1,2.76,0
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",2,3,2017-09-14,9,2017,2,6.9,1.983,1,0,1.983
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",7,16,2017-05-27,5,2017,4,2,0.535,1,0,0.535
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",3,3,2016-09-26,9,2016,2,3.5,3.21,1,3.21,0
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",1,49,2016-04-28,4,2016,1,5.98,2.592625,2,2.592625,0
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",1,2,2017-09-17,9,2017,2,4.17,1.983,1,0,1.983
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",7,9,2017-04-26,4,2017,4,2.58,1.49,2,0,1.49
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",7,9,2017-04-26,4,2017,4,2.58,2.58,6,0,2.58
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",1,2,2016-08-05,8,2016,2,3.17,1.985,1,0,1.985
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",4,23,2016-07-10,7,2016,4,1.5,1.455,3,0,1.455
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",1,1,2016-08-23,8,2016,1,3.52,1.21,1,0,1.21
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",7,2,2017-07-19,7,2017,4,2,0.565,1,0,0.565
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",1,30,2016-02-26,2,2016,1,6.42,1.2963125,1,1.2963125,0
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",1,27,2016-05-29,5,2016,1,2.9,1.32,2,0,1.32
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",4,16,2016-04-27,4,2016,4,3.42,1.845,1,0,1.845
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",1,29,2016-09-30,9,2016,1,3.83,1.355,1,0,1.355
4,"amalombandana","Anguilla marmorata",NA,"Anguilla",4,23,2016-07-10,7,2016,4,1.5,0.275,1,0,0.275
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,30,2016-06-10,6,2016,1,3.17,0.943734693877551,18,0.943734693877551,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,49,2016-02-22,2,2016,1,5.75,0.5,9,0,0.5
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,14,2016-05-29,5,2016,1,5.35,0.157289115646258,3,0.157289115646258,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,9,2017-01-11,1,2017,1,2.5,0.209718820861678,4,0.209718820861678,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,30,2016-08-12,8,2016,1,5.95,1.31074263038549,25,1.31074263038549,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,23,2016-11-13,11,2016,3,2.2,0.06,1,0,0.06
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",8,10,2016-05-26,5,2016,3,2.82,0.035,1,0,0.035
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,4,2016-02-26,2,2016,1,4.08,0.06,1,0,0.06
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,6,2016-05-29,5,2016,1,3.7,0.045,1,0.045,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,47,2016-04-23,4,2016,1,3.9,0.629156462585034,12,0.629156462585034,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,57,2017-05-15,5,2017,1,4.83,0.05,1,0,0.05
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",8,5,2016-11-13,11,2016,3,3.2,0.095,3,0.095,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,39,2016-09-23,9,2016,1,2.3,0.195,1,0,0.195
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,35,2016-02-22,2,2016,1,7.75,1.10102380952381,21,1.10102380952381,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,29,2016-09-30,9,2016,1,3.83,0.06,2,0,0.06
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,39,2016-09-28,9,2016,1,3.25,0.314578231292517,6,0.314578231292517,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,22,2016-08-23,8,2016,1,4.25,0.629156462585034,12,0.629156462585034,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,13,2016-04-28,4,2016,5,5,1.311,19,1.311,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,15,2016-07-22,7,2016,3,4.2,0.045,1,0,0.045
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,49,2016-08-06,8,2016,1,4.08,0.157289115646258,3,0.157289115646258,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,59,2016-07-10,7,2016,3,2.03,0.045,2,0,0.045
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",8,9,2016-09-23,9,2016,1,5.75,0.145,3,0,0.145
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,7,2016-08-23,8,2016,1,5.68,0.262148526077097,5,0.262148526077097,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,38,2016-10-20,10,2016,1,3.5,0.104859410430839,2,0.104859410430839,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,35,2016-09-30,9,2016,1,3.95,0.524297052154195,10,0.524297052154195,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,24,2016-11-13,11,2016,3,2.32,0.27,6,0.27,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,29,2016-06-16,6,2016,1,3.75,0.367007936507937,7,0.367007936507937,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",8,5,2017-02-11,2,2017,3,3.87,0.045,1,0.045,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,42,2016-09-23,9,2016,1,5.25,0.045,1,0.045,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,5,2016-09-17,9,2016,3,2.78,0.045,2,0,0.045
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,4,2016-03-18,3,2016,1,3.42,0.14,2,0.14,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,14,2016-04-23,4,2016,1,6.8,0.367007936507937,7,0.367007936507937,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,10,2017-01-31,1,2017,3,3.75,0.125,6,0,0.125
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,13,2016-03-18,3,2016,1,3.85,0.065,2,0,0.065
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,6,2016-04-28,4,2016,1,4.68,0.786445578231293,15,0.786445578231293,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,2,2016-07-22,7,2016,3,5.1,0.035,1,0,0.035
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,38,2016-10-14,10,2016,1,3.07,0.085,1,0.085,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,4,2016-09-23,9,2016,1,2.8,0.209718820861678,4,0.209718820861678,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,13,2016-11-13,11,2016,3,3.4,0.13,3,0,0.13
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,36,2016-06-28,6,2016,1,3.25,0.524297052154195,10,0.524297052154195,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",8,9,2016-07-22,7,2016,3,5.47,0.05,2,0,0.05
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,1,2016-07-28,7,2016,5,3.33,0.083,2,0,0.083
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,14,2016-09-17,9,2016,1,4.92,0.235,1,0.235,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,49,2016-10-20,10,2016,1,4,0.209718820861678,4,0.209718820861678,0
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,12,2017-01-31,1,2017,3,2.6,0.775,30,0.535,0.24
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,27,2017-02-11,2,2017,3,2.93,0.095,2,0,0.095
8,"ambanivava","Polydactylus malagasyensis",NA,"Polydactylus",1,15,2016-02-09,2,2016,1,7,0.075,1,0,0.075
